"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-201/BAD_LogSensitiveInfoBeforeSending.java","24","13","24","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-201/BAD_SendSensitiveInfoInGetRequest.java","16","13","16","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-210/BAD_FileAccessErrorExposure.java","17","13","17","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-211/BAD_VerboseLibraryExceptionHandling.java","18","13","18","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-214/BAD_EnvVarExposure.java","14","13","14","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-214/BAD_ProcessInvocationWithArgs.java","18","13","18","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-497/BAD_DetailedErrorServlet.java","16","13","16","47"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-497/BAD_InsecureDebugMode.java","16","17","16","35"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-535/BAD_MisconfiguredPermissions.java","15","13","15","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-535/BAD_SensitiveInfoExposureViaShellError.java","20","13","20","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-535/BAD_ShellCommandExposure.java","15","13","15","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-537/BAD_FileReadSensitiveError.java","12","13","12","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-538/BAD_LoggingCredentials.java","13","13","13","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-538/BAD_StoreDbConnectionInfo.java","16","13","16","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-540/BAD_ApiKeyEmbedded.java","18","13","18","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-598/BAD_CreditCardSubmissionGET.java","17","13","17","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-598/BAD_HealthInfoSubmissionGET.java","23","13","23","31"
"CWE-200: Exposure of sensitive information to an unauthorized actor via printStackTrace.","Logging or printing sensitive information or detailed error messages can lead to information disclosure.","warning","Method call to printStackTrace exposes sensitive information.","/src/main/java/com/mycompany/app/CWE-598/BAD_PasswordChangeGET.java","17","13","17","31"
"CWE-200: Local information disclosure in a temporary directory","Writing information without explicit permissions to a shared temporary directory may disclose it to other users.","warning","Local information disclosure vulnerability due to use of file readable by other local users.","/src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java","7","22","7","58"
"CWE-200: Local information disclosure in a temporary directory","Writing information without explicit permissions to a shared temporary directory may disclose it to other users.","warning","Local information disclosure vulnerability due to use of file readable by other local users.","/src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java","9","22","9","64"
"CWE-200: Local information disclosure in a temporary directory","Writing information without explicit permissions to a shared temporary directory may disclose it to other users.","warning","Local information disclosure vulnerability from [[""system temp directory""|""relative:///src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java:11:39:11:74""]] due to use of file or directory readable by other local users.","/src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java","11","39","11","74"
"CWE-200: Local information disclosure in a temporary directory","Writing information without explicit permissions to a shared temporary directory may disclose it to other users.","warning","Local information disclosure vulnerability from [[""system temp directory""|""relative:///src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java:18:42:18:77""]] due to use of file or directory readable by other local users.","/src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java","18","42","18","77"
"CWE-200: Local information disclosure in a temporary directory","Writing information without explicit permissions to a shared temporary directory may disclose it to other users.","warning","Local information disclosure vulnerability from [[""system temp directory""|""relative:///src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java:21:41:21:76""]] due to use of file or directory readable by other local users.
Local information disclosure vulnerability from [[""system temp directory""|""relative:///src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java:21:41:21:76""]] due to use of file or directory readable by other local users.","/src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java","21","41","21","76"
"CWE-200: Local information disclosure in a temporary directory","Writing information without explicit permissions to a shared temporary directory may disclose it to other users.","warning","Local information disclosure vulnerability from [[""system temp directory""|""relative:///src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java:16:18:16:53""]] due to use of file or directory readable by other local users.","/src/main/java/com/mycompany/app/CWE-200/BAD_TempDirUsageVulnerable.java","16","18","16","53"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-201/BAD_SendSensitiveInfoInGetRequest.java","9","23","9","104"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-497/BAD_DetailedErrorServlet.java","19","36","19","73"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-536/BAD_DbConnectionErrorServlet.java","15","40","15","89"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-536/BAD_ExternalServiceErrorServlet.java","20","40","20","73"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-536/BAD_FileReadErrorServlet.java","15","40","15","86"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-598/BAD_CreditCardSubmissionGET.java","10","23","10","40"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-598/BAD_HealthInfoSubmissionGET.java","16","23","16","40"
"CWE-201: Information exposure through transmitted data","Transmitting sensitive information to the user is a potential security risk.","error","Transmission of Sensitive information might be exposed here.","/src/main/java/com/mycompany/app/CWE-598/BAD_PasswordChangeGET.java","10","23","10","40"
"CWE-208: Possible timing attack against signature validation","When checking a signature over a message, a constant-time algorithm should be used. Otherwise, there is a risk of a timing attack that allows an attacker to forge a valid signature for an arbitrary message. For a successful attack, the attacker has to be able to send to the validation procedure both the message and the signature.","warning","Possible timing attack against [[""ciphertext""|""relative:///src/main/java/com/mycompany/app/CWE-208/AttackAgainstSigniture/BAD_AAS_CiphertextWithByteBufferEquals.java:16:56:16:58""]] validation.","/src/main/java/com/mycompany/app/CWE-208/AttackAgainstSigniture/BAD_AAS_CiphertextWithByteBufferEquals.java","18","53","18","55"
"CWE-208: Possible timing attack against signature validation","When checking a signature over a message, a constant-time algorithm should be used. Otherwise, there is a risk of a timing attack that allows an attacker to forge a valid signature for an arbitrary message. For a successful attack, the attacker has to be able to send to the validation procedure both the message and the signature.","warning","Possible timing attack against [[""ciphertext""|""relative:///src/main/java/com/mycompany/app/CWE-208/AttackAgainstSigniture/BAD_AAS_unsafeCheckCiphertext.java:15:26:15:45""]] validation.","/src/main/java/com/mycompany/app/CWE-208/AttackAgainstSigniture/BAD_AAS_unsafeCheckCiphertext.java","17","49","17","51"
